2 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.70898 | time : 42510.41 | batch : 800/2172
2 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.75000 | time : 43243.15 | batch : 900/2172
2 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.72461 | time : 43973.76 | batch : 1000/2172
2 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.76953 | time : 44702.88 | batch : 1100/2172
2 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.72266 | time : 45441.70 | batch : 1200/2172
2 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.73828 | time : 46175.22 | batch : 1300/2172
2 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.70898 | time : 46914.09 | batch : 1400/2172
2 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.75000 | time : 47647.42 | batch : 1500/2172
2 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.73633 | time : 48377.22 | batch : 1600/2172
2 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.71484 | time : 49106.68 | batch : 1700/2172
2 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.71484 | time : 49845.68 | batch : 1800/2172
2 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.71484 | time : 50584.61 | batch : 1900/2172
2 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.69727 | time : 51317.03 | batch : 2000/2172
2 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.69141 | time : 52046.83 | batch : 2100/2172
Train Epoch end... Accuracy : 0.7270995033938392
2 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | valid_acc : 0.68164 | time : 52576.37 | batch : 0/271
2 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | valid_acc : 0.71680 | time : 52805.63 | batch : 50/271
2 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | valid_acc : 0.71680 | time : 53022.71 | batch : 100/271
2 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | valid_acc : 0.66797 | time : 53235.63 | batch : 150/271
2 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | valid_acc : 0.70312 | time : 53447.12 | batch : 200/271
2 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | valid_acc : 0.69336 | time : 53659.30 | batch : 250/271
Validation Epoch end... Accuracy : 0.6961828381887544
Successfully saved!
3 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.71289 | time : 53755.85 | batch : 0/2172
3 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.71094 | time : 55341.27 | batch : 100/2172
3 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.70703 | time : 56086.64 | batch : 200/2172
3 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.74023 | time : 56820.69 | batch : 300/2172
3 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.70508 | time : 57561.69 | batch : 400/2172
3 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.75977 | time : 58301.88 | batch : 500/2172
3 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.73242 | time : 59043.75 | batch : 600/2172
3 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.74219 | time : 59787.67 | batch : 700/2172
3 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.72070 | time : 60535.52 | batch : 800/2172
3 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.73633 | time : 61278.25 | batch : 900/2172
3 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.73828 | time : 62018.13 | batch : 1000/2172
3 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.70117 | time : 62757.61 | batch : 1100/2172
3 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.73633 | time : 63499.73 | batch : 1200/2172
